title,info
Minions,"['minion', 'stuart', 'kevin', 'bob', 'recruit', 'scarlet', 'overkil', 'supervillain', 'alongsid', 'inventor']['Family', 'Animation', 'Adventure', 'Comedy']"
Wonder Woman,"['amazon', 'princess', 'come', 'world', 'man', 'becom', 'greatest', 'femal', 'superhero']['Action', 'Adventure', 'Fantasy']"
Beauty and the Beast,"['liveact', 'adapt', 'disney', 'version', 'classic', 'beauti', 'beast', 'tale', 'curs', 'princ']['Family', 'Fantasy', 'Romance']"
Baby Driver,"['coerc', 'work', 'crime', 'boss', 'young', 'getaway', 'driver', 'find', 'take', 'part']['Action', 'Crime']"
Big Hero 6,"['special', 'bond', 'develop', 'plussiz', 'inflat', 'robot', 'baymax', 'prodigi', 'hiro', 'hamada']['Adventure', 'Family', 'Animation', 'Action', 'Comedy']"
Deadpool,"['deadpool', 'tell', 'origin', 'stori', 'former', 'special', 'forc', 'oper', 'turn', 'mercenari']['Action', 'Adventure', 'Comedy']"
Guardians of the Galaxy Vol. 2,"['guardian', 'must', 'fight', 'keep', 'newfound', 'famili', 'togeth', 'unravel', 'mysteri', 'peter']['Action', 'Adventure', 'Comedy', 'Science Fiction']"
Avatar,"['22nd', 'centuri', 'parapleg', 'marin', 'dispatch', 'moon', 'pandora', 'uniqu', 'mission', 'becom']['Action', 'Adventure', 'Fantasy', 'Science Fiction']"
John Wick,"['exlunat', 'john', 'wick', 'come', 'med', 'track', 'bounder', 'kill', 'dog', 'made']['Action', 'Thriller']"
Gone Girl,"['wife', 'disappear', 'becom', 'focus', 'intens', 'media', 'circus', 'man', 'see', 'spotlight']['Mystery', 'Thriller', 'Drama']"
The Hunger Games: Mockingjay - Part 1,"['katniss', 'everdeen', 'reluct', 'becom', 'symbol', 'mass', 'rebellion', 'autocrat', 'capitol']['Science Fiction', 'Adventure', 'Thriller']"
War for the Planet of the Apes,"['caesar', 'ape', 'colonel', 'face', 'forc', 'dead', 'conflict', 'armi', 'human', 'led']['Drama', 'Science Fiction', 'War']"
Captain America: Civil War,"['follow', 'event', 'age', 'ultron', 'collect', 'govern', 'world', 'pass', 'act', 'design']['Adventure', 'Action', 'Science Fiction']"
Pulp Fiction,"['burgerlov', 'hit', 'man', 'philosoph', 'partner', 'drugaddl', 'gangster', 'moll', 'washedup', 'boxer']['Thriller', 'Crime']"
Pirates of the Caribbean: Dead Men Tell No Tales,"['capt', 'jack', 'thrust', 'allnew', 'paycheck', 'downonhisluck', 'sparrow', 'feel', 'wind', 'illfortun']['Adventure', 'Action', 'Fantasy', 'Comedy']"
The Dark Knight,"['batman', 'crimin', 'rais', 'stake', 'war', 'crime', 'help', 'jim', 'gordon', 'district']['Drama', 'Action', 'Crime', 'Thriller']"
Blade Runner,"['smogchok', 'dystopian', 'los', 'angel', '2019', 'blade', 'runner', 'rick', 'deckard', 'call']['Science Fiction', 'Drama', 'Thriller']"
The Avengers,"['unexpect', 'enemi', 'emerg', 'threaten', 'global', 'safeti', 'secur', 'nick', 'furi', 'director']['Science Fiction', 'Action', 'Adventure']"
Captain Underpants: The First Epic Movie,"['two', 'mischiev', 'kid', 'hypnot', 'mean', 'elementari', 'school', 'princip', 'turn', 'comic']['Action', 'Animation', 'Comedy', 'Family']"
The Circle,"['young', 'tech', 'worker', 'take', 'job', 'greedi', 'internet', 'corpor', 'quick', 'rise']['Drama', 'Thriller', 'Science Fiction']"
The Bad Batch,"['desert', 'wasteland', 'texa', 'muscl', 'cannib', 'break', 'one', 'import', 'rule', 'play']['Thriller', 'Romance', 'Science Fiction']"
The Maze Runner,"['set', 'postapocalypt', 'world', 'young', 'thoma', 'deposit', 'communiti', 'boy', 'memori', 'eras']['Action', 'Mystery', 'Science Fiction', 'Thriller']"
Dawn of the Planet of the Apes,"['group', 'scientist', 'san', 'francisco', 'struggl', 'stay', 'aliv', 'aftermath', 'plagu', 'wipe']['Science Fiction', 'Action', 'Drama', 'Thriller']"
Alien: Covenant,"['bound', 'remot', 'planet', 'far', 'side', 'galaxi', 'crew', 'coloni', 'ship', 'coven']['Horror', 'Science Fiction', 'Thriller']"
Ghost in the Shell,"['near', 'futur', 'major', 'first', 'kind', 'human', 'save', 'terribl', 'crash', 'cyberenhanc']['Action', 'Science Fiction', 'Thriller']"
Boyka: Undisputed IV,"['boyka', 'fourth', 'instal', 'fight', 'franchis', 'shoot', 'big', 'leagu', 'accident', 'death']['Thriller', 'Action', 'Crime']"
Whiplash,"['direct', 'ruthless', 'instructor', 'talent', 'young', 'drummer', 'begin', 'pursu', 'perfect', 'cost']['Drama']"
Fight Club,"['tickingtimebomb', 'insomniac', 'slipperi', 'soap', 'salesman', 'channel', 'primal', 'male', 'aggress', 'shock']['Drama']"
What Happened to Monday,"['one', 'world', 'famili', 'limit', 'child', 'due', 'overpopul', 'set', 'ident', 'septuplet']['Science Fiction', 'Thriller']"
Wish Upon,"['power', 'teenag', 'girl', 'discov', 'box', 'magic', 'come', 'dead', 'price']['Fantasy', 'Horror', 'Thriller']"
Thor: Ragnarok,"['thor', 'imprison', 'side', 'univers', 'find', 'race', 'time', 'get', 'back', 'asgard']['Action', 'Adventure', 'Fantasy', 'Science Fiction']"
Logan,"['logan', 'near', 'futur', 'weari', 'care', 'ail', 'professor', 'hideout', 'mexican', 'border']['Action', 'Drama', 'Science Fiction']"
Guardians of the Galaxy,"['year', 'light', 'earth', 'abduct', 'peter', 'quill', 'find', 'prime', 'target', 'manhunt']['Action', 'Science Fiction', 'Adventure']"
47 Meters Down,"['two', 'sister', 'mexican', 'vacat', 'trap', 'shark', 'observ', 'cage', 'bottom', 'ocean']['Drama', 'Thriller', 'Horror', 'Adventure']"
The Shawshank Redemption,"['dufresn', 'prison', 'frame', '1940s', 'doubl', 'murder', 'wife', 'lover', 'upstand', 'banker']['Drama', 'Crime']"
The Last King,"['norway', 'boy', 'year', '1206', 'ravag', 'civil', 'war', 'king', 'illegitim', 'son']['Action', 'Adventure', 'Drama']"
The Dark Tower,"['roland', 'battl', 'man', 'black', 'tower', 'last', 'gunsling', 'deschain', 'lock', 'etern']['Action', 'Western', 'Science Fiction', 'Fantasy', 'Horror']"
John Wick: Chapter 2,"['wick', 'john', 'forc', 'retir', 'former', 'associ', 'look', 'seiz', 'control', 'shadowi']['Thriller', 'Action', 'Crime']"
The Fate of the Furious,"['mysteri', 'woman', 'seduc', 'dom', 'world', 'crime', 'betray', 'closest', 'crew', 'face']['Action', 'Crime', 'Thriller']"
Forrest Gump,"['man', 'thing', 'love', 'low', 'accomplish', 'great', 'life', 'present', 'signific', 'histor']['Comedy', 'Drama', 'Romance']"
Pirates of the Caribbean: The Curse of the Black Pearl,"['sparrow', 'pirat', 'jack', 'freewheel', '17thcenturi', 'roam', 'caribbean', 'sea', 'butt', 'head']['Adventure', 'Fantasy', 'Action']"
Security,"['desper', 'job', 'wit', 'exspeci', 'servic', 'veteran', 'luck', 'work', 'take', 'secur']['Action']"
The Legend of Tarzan,"['tarzan', 'acclim', 'life', 'london', 'call', 'back', 'former', 'home', 'jungl', 'investig']['Action', 'Adventure']"
King Arthur: Legend of the Sword,"['arthur', 'child', 'father', 'murder', 'vortigern', 'uncl', 'seiz', 'crown', 'rob', 'birthright']['Action', 'Drama', 'Fantasy']"
Doctor Strange,"['career', 'destroy', 'brilliant', 'arrog', 'surgeon', 'get', 'new', 'leas', 'life', 'sorcer']['Action', 'Adventure', 'Fantasy', 'Science Fiction']"
Suicide Squad,"['comic', 'come', 'suicid', 'squad', 'antihero', 'team', 'incarcer', 'supervillain', 'act', 'deniabl']['Action', 'Adventure', 'Crime', 'Fantasy', 'Science Fiction']"
Star Wars,"['princess', 'empir', 'leia', 'captur', 'held', 'hostag', 'evil', 'imperi', 'forc', 'effort']['Adventure', 'Action', 'Science Fiction']"
Ted 2,"['ted', 'newlyw', 'coupl', 'tamilynn', 'want', 'babi', 'order', 'qualifi', 'parent', 'prove']['Comedy']"
Schindler's List,"['true', 'stori', 'businessman', 'oskar', 'schindler', 'save', 'thousand', 'jewish', 'live', 'nazi']['Drama', 'History', 'War']"
